Temperatura;Opad;Wiatr
13;10;5
20;0;9
7;3;7
12;20;6
3;17;7
16;10;12
7;4;14
25;2;15
6;2;5
10;12;11
14;13;13
13;7;7
30;16;6
4;8;7
17;7;13
17;14;5
9;5;5
3;20;5
8;5;5
29;0;7
27;4;8
-3;2;12
14;0;10
22;5;5
-1;16;15
8;11;13
-5;4;6
23;2;8
28;2;10
4;4;15
0;17;13
20;0;13
30;6;5
4;5;15
6;13;8
8;12;14
13;2;12
19;3;7
18;3;9
-4;14;12
26;14;7
8;13;5
-5;10;11
22;4;13
24;13;11
28;9;12
-1;20;9
28;12;8
-4;9;9
28;4;5
12;9;9
1;17;8
21;13;15
25;6;7
26;5;12
12;19;6
7;7;6
13;20;5
11;11;8
2;14;7
7;4;15
19;10;5
6;19;6
27;6;5
16;17;15
27;15;11
-3;5;12
-2;15;5
-4;8;9
7;4;7
1;7;10
12;13;5
22;6;5
14;11;11
10;13;12
25;6;10
-1;11;8
9;1;14
9;12;11
14;5;13
17;16;6
20;15;7
-5;8;6
8;17;15
19;20;9
20;2;15
11;13;11
27;16;11
24;9;12
19;10;12
11;16;14
16;1;7
1;1;8
11;1;13
30;2;12
13;19;11
-5;1;10
29;13;14
-3;14;6
6;6;12
12;5;7
-2;1;8
-1;18;12
19;14;9
29;11;11
9;14;10
-2;19;12
13;20;9
28;6;12
15;15;7
0;8;12
16;8;8
-3;16;13
-1;20;11
-4;20;14
18;6;14
20;16;13
18;18;12
8;8;7
1;17;5
15;7;12
30;18;11
28;6;5
23;8;5
-3;9;12
6;20;9
-4;13;15
19;0;5
19;1;9
-2;3;7
13;11;10
23;1;7
16;3;11
24;20;14
23;17;14
13;4;13
27;2;6
-1;17;14
22;8;13
29;3;12
19;10;14
19;3;7
17;7;6
17;4;5
0;12;7
-1;1;11
2;13;11
18;7;13
-1;17;5
-1;5;8
1;6;15
12;2;5
8;11;7
-4;18;12
11;13;15
-5;18;10
23;19;11
2;7;13
25;1;15
-5;20;14
4;15;11
19;17;6
3;1;8
3;3;12
24;17;9
16;13;14
-2;5;9
6;13;7
29;17;12
10;10;13
10;9;15
29;15;5
18;5;15
15;5;9
-4;13;9
11;13;10
-3;18;7
15;13;6
24;9;12
22;20;6
30;20;10
11;2;5
6;13;13
17;11;9
19;1;14
26;9;9
2;2;12
-4;15;13
3;12;5
19;12;11
13;6;15
9;9;5
23;5;8
7;2;14
22;12;12
4;20;6
16;8;13
28;20;13
16;0;14
7;9;14
